"0805.2150","Victor Galitski","Tudor D. Stanescu, Victor Galitski and S. Das Sarma","Orbital fluctuation mechanism for superconductivity in iron-based
  compounds","expanded version, 9+ pages, 6 color figures","Phys. Rev. B 78, 195114 (2008).","10.1103/PhysRevB.78.195114",,"cond-mat.supr-con cond-mat.str-el","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We propose orbital fluctuations in a multi-band ground state as the
superconducting pairing mechanism in the new iron-based materials. We develop a
general SU(4) theoretical framework for studying a two-orbital model and
discuss a number of scenarios that may be operational within this orbital
fluctuation paradigm. The orbital and spin symmetry of the superconducting
order parameter is argued to be highly non-universal and dependent on the
details of the underlying band structure. We introduce a minimal two-orbital
model for the Fe-pnictides characterized by non-degenerate orbitals that
strongly mix with each other. They correspond to the iron ""d_xy"" orbital and to
an effective combination of ""d_zx"" and ""d_zy"", respectively. Using this
effective model we perform RPA calculations of susceptibilities and effective
pairing interactions. We find that spin and orbital fluctuations are,
generally, strongly coupled and we identify the parameters that control this
coupling as well as the relative strength of various channels.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 18:29:12 GMT""},{""version"":""v2"",""created"":""Fri, 17 Oct 2008 22:19:13 GMT""}]","2008-11-18"
"0805.2527","Andor Kormanyos Dr","A. Kormanyos, P. Rakyta, L. Oroszlany and J. Cserti","Bound states in inhomogeneous magnetic field in graphene: a
  semiclassical approach","8 pages, 7 figures","Phys. Rev. B 78, 045430 (2008)","10.1103/PhysRevB.78.045430",,"cond-mat.mes-hall","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We derive semiclassical quantization equations for graphene mono- and bilayer
systems where the excitations are confined by the applied inhomogeneous
magnetic field. The importance of a semiclassical phase, a consequence of the
spinor nature of the excitations, is pointed out. The semiclassical
eigenenergies show good agreement with the results of quantum mechanical
calculations based on the Dirac equation of graphene and with numerical tight
binding calculations.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 13:33:31 GMT""}]","2008-08-14"
"0805.2528","Jens Dobrindt","J. M. Dobrindt, I. Wilson-Rae, T. J. Kippenberg","Parametric Normal-Mode Splitting in Cavity Optomechanics","4 pages, 3 figures","Phys. Rev. Lett. 101, 263602 (2008)","10.1103/PhysRevLett.101.263602",,"cond-mat.mes-hall","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Recent experimental progress in cavity optomechanics has allowed cooling of
mesoscopic mechanical oscillators via dynamic backaction provided by the
parametric coupling to either an optical or an electrical resonator. Here we
analyze the occurrence of normal-mode splitting in backaction cooling at high
input power. We find that a hybridization of the oscillator's motion with the
fluctuations of the driving field occurs and leads to a splitting of the
mechanical and optical fluctuation spectra. Moreover, we find that cooling
experiences a classical limitation through the cavity lifetime.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 13:34:57 GMT""},{""version"":""v2"",""created"":""Thu, 1 Jan 2009 18:13:53 GMT""}]","2010-07-29"
"0805.2529","Laurent Veron","Moshe Marcus, Laurent Veron (LMPT)","Maximal Solutions of Semilinear Elliptic Equations with Locally
  Integrable Forcing Term",,"Isra\""el Journal of Mathematics, 152 (2006) 333-348",,,"math.AP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study the existence of a maximal solution of $-\Gd u+g(u)=f(x)$ in a
domain $\Gw\subset \BBR^N$ with compact boundary, assuming that $f\in
(L^1_{loc}(\Gw))_+$ and that $g$ is nondecreasing, $g(0)\geq 0$ and $g$
satisfies the Keller-Osserman condition. We show that if the boundary satisfies
the classical $C_{1,2}$ Wiener criterion then the maximal solution is a large
solution, i.e., it blows up everywhere on the boundary. In addition we discuss
the question of uniqueness of large solutions.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 13:46:35 GMT""}]","2008-12-18"
"0805.2530","Antonio Marrone","Gianluigi Fogli, Eligio Lisi, Antonio Marrone and Alessandro Mirizzi","Neutrinos self interactions in Supernovae","6 pages, 7 figures, to appear in the Proceedings of the 43rd
  Rencontres de Moriond EW session, La Thuile, Italy, 1-8 March 2008",,,,"hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Oscillations of neutrino emerging from a supernova core are studied. In this
extremely high density region neutrino self interactions induce collective
flavor transitions. When collective transitions are decoupled from matter
oscillations, as for our chosen matter profile, an analytical interpretation of
the collective effects is possible, by means of a mechanical analogy with a
spherical pendulum. For inverted neutrino hierarchy the neutrino propagation
can be divided in three regimes: synchronization, bipolar oscillations, and
spectral split. Our simulation shows that averaging over neutrino trajectories
does not alter the nature of these three regimes.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 13:47:54 GMT""}]","2008-05-19"
"0805.2531","Liangzhong Hu","Liangzhong Hu","The Laplacian on homogeneous spaces",,"J.Math.Phys.49:053513,2008","10.1063/1.2924268",,"math-ph cond-mat.mes-hall hep-th math.MP math.RT","http://creativecommons.org/licenses/by-nc-sa/3.0/","  The solution of the eigenvalue problem of the Laplacian on a general
homogeneous space G/H is given. Here, G is a compact, semisimple Lie group, H
is a closed subgroup of G, and the rank of H is equal to the rank of G. It is
shown that the multiplicity of the lowest eigenvalue of the Laplacian on G/H is
just the degeneracy of the lowest Landau level for a particle moving on G/H in
the presence of the background gauge field. Moreover, the eigenspace of the
lowest eigenvalue of the Laplacian on G/H is, up to a sign, equal to the
G-equivariant index of the Dirac operator of Kostant on G/H.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 13:48:42 GMT""}]","2008-11-26"
"0805.2532","Daniel Carpintero","Daniel D. Carpintero","Finding how many isolating integrals of motion an orbit obeys","MN LaTeX style v2.2, 12 pages, 27 figures, 4 tables, to be published
  in MNRAS",,"10.1111/j.1365-2966.2008.13469.x",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The correlation dimension, that is, the dimension obtained by computing the
correlation function of pairs of points of a trajectory in phase space, is a
numerical technique introduced in the field of nonlinear dynamics in order to
compute the dimension of the manifold in which an orbit moves, without the need
of knowing the actual equations of motion that give rise to the trajectory.
This technique has been proposed in the past as a method to measure the
dimension of stellar orbits in astronomical potentials, i.e., the number of
isolating integrals of motion the orbits obey. Although the algorithm can in
principle yield that number, some care has to be taken in order to obtain good
results. We studied the relevant parameters of the technique, found their
optimal values, and tested the validity of the method on a number of potentials
previously studied in the literature, using the SALI, Lyapunov exponents and
spectral dynamics as gauges.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 13:49:55 GMT""}]","2009-11-13"
"0805.2533","Laurent Veron","Alessio Porretta (DM), Laurent Veron (LMPT)","Asymptotic behaviour for the gradient of large solutions to some
  nonlinear elliptic equations",,"Advanced Nolinear Studies 6 (2006) 351-378",,,"math.AP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  If $h$ is a nondecreasing real valued function and $0\leq q\leq 2$, we
analyse the boundary behaviour of the gradient of any solution $u$ of $-\Delta
u+h(u)+\abs {\nabla u}^q=f$ in a smooth N-dimensional domain $\Omega$ with the
condition that $u$ tends to infinity when $x$ tends to $\partial\Omega$. We
give precise expressions of the blow-up which, in particular, point out the
fact that the phenomenon occurs essentially in the normal direction to
$\partial\Omega$. Motivated by the blow--up argument in our proof, we also give
in Appendix a symmetry result for some related problems in the half space.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 13:50:33 GMT""}]","2008-12-18"
"0805.2534","Fabrizio M. E. Catanese","Ingrid Bauer, Fabrizio Catanese (Universitaet Bayreuth)","The rationality of certain moduli spaces of curves of genus 3","14 pages, to appear in a volume on rationality questions",,,,"math.AG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We show, for each algebraically closed field, the rationality of the
following two moduli spaces: M(3,3) parametrizing pairs (C, \eta) where C has
genus 3 and \eta is a 3-torsion divisor class, respectively of M(3,<3>)
parametrizing pairs (C, <\eta>) as above and where <\eta> is the cyclic
subgroup of order 3 in Pic_0(C) generated by \eta.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 13:53:02 GMT""}]","2008-05-19"
"0805.2535","Laurent Veron","Alessio Porretta (DM), Laurent Veron (LMPT)","Symmetry of large solutions of nonlinear elliptic equations in a ball",,"J Funct Analysis 236 (2006) 581-591","10.1016/j.jfa.2006.03.010",,"math.AP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Let $g$ be a locally Lipschitz continuous real valued function which
satisfies the Keller-Osserman condition and is convex at infinity, then any
large solution of $-\Delta u+g(u)=0$ in a ball is radially symmetric.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 13:54:54 GMT""}]","2008-12-18"
"0805.2536","Etera R. Livine","Etera R. Livine, Daniel R. Terno","The entropic boundary law in BF theory","17 pages","Nucl.Phys.B806:715-734,2009","10.1016/j.nuclphysb.2008.08.004",,"gr-qc quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We compute the entropy of a closed bounded region of space for pure 3d
Riemannian gravity formulated as a topological BF theory for the gauge group
SU(2) and show its holographic behavior. More precisely, we consider a fixed
graph embedded in space and study the flat connection spin network state
without and with particle-like topological defects. We regularize and compute
exactly the entanglement for a bipartite splitting of the graph and show it
scales at leading order with the number of vertices on the boundary (or
equivalently with the number of loops crossing the boundary). More generally
these results apply to BF theory with any compact gauge group in any space-time
dimension.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 13:56:58 GMT""}]","2008-11-26"
"0805.2537","Patrick Henry","Patrick Henry, Christian Bassac (LaBRI)","A toolkit for a generative lexicon","poster - 6 pages","Dans A toolkit for a Generative Lexicon - Fourth International
  Workshop on Generative Approaches to the Lexicon, PARIS : France (2007)",,,"cs.CL","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper we describe the conception of a software toolkit designed for
the construction, maintenance and collaborative use of a Generative Lexicon. In
order to ease its portability and spreading use, this tool was built with free
and open source products. We eventually tested the toolkit and showed it
filters the adequate form of anaphoric reference to the modifier in endocentric
compounds.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 13:58:44 GMT""}]","2008-12-18"
"0805.2538","Vincent Rivasseau","Joseph Ben Geloun and Vincent Rivasseau","Color Grosse-Wulkenhaar models: One-loop $\beta$-functions","14 pages, 6 Figures","Eur.Phys.J.C58:115-122,2008","10.1140/epjc/s10052-008-0708-1",,"hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The $\beta$-functions of O(N) and U(N) invariant Grosse-Wulkenhaar models are
computed at one loop using the matrix basis. In particular, for ``parallel
interactions"", the model is proved asymptotically free in the UV limit for $N
>1$, and has a triviality problem or Landau ghost for $N<1$. The vanishing
$\beta$-function is recovered solely at N=1. We discuss various possible
consequences of these results.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 13:59:39 GMT""}]","2008-12-18"
"0805.2539","Yevgenya Pashayan-Leroy T","Armen Sargsyan, Grant Hakhumyan, Aram Papoyan, David Sarkisyan, Aigars
  Atvars, and Marcis Auzinsh","A method for the quantitative study of atomic transitions in a magnetic
  field based on an atomic vapor cell with L=lambda",,,,,"physics.atom-ph","http://creativecommons.org/licenses/by/3.0/","  We describe the so-called ""Lambda-Zeeman method"" to investigate individual
hyperfine transitions between Zeeman sublevels of atoms in an external magnetic
field of 0.1 mT - 0.25 T. Atoms are confined in a nanocell with thickness L =
Lambda, where Lambda is the resonant wavelength (794 nm or 780 nm for D1 or D2
line of Rb). Narrow resonances in the transmission spectrum of the nanocell are
split into several components in a magnetic field; their frequency positions
and probabilities depend on the B-field. Possible applications are described,
such as magnetometers with nanometric spatial resolution and tunable atomic
frequency references.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 14:00:33 GMT""}]","2008-05-19"
"0805.2540","Izumi Hachisu","Mariko Kato (Keio Univ.), Izumi Hachisu (Univ. of Tokyo), Seiichiro
  Kiyota (VSOLJ), Hideyuki Saio (Tohoku Univ.)","Helium Nova on a Very Massive White Dwarf -- A Light Curve Model of V445
  Puppis (2000) Revised","8 pages including 12 figures, to appear in ApJ",,"10.1086/590329",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  V445 Pup (2000) is a unique object identified as a helium nova. Color indexes
during the outburst are consistent with those of free-free emission. We present
a free-free emission dominated light curve model of V445 Pup on the basis of
the optically thick wind theory. Our light curve fitting shows that (1) the
white dwarf (WD) mass is very massive (M_WD \gtrsim 1.35 M_\sun), and (2) a
half of the accreted matter remains on the WD, both of which suggest that the
increasing WD mass. Therefore, V445 Pup is a strong candidate of Type Ia
supernova progenitor. The estimated distance to V445 Pup is now consistent with
the recent observational suggestions, 3.5 < d < 6.5 kpc. A helium star
companion is consistent with the brightness of m_v=14.5 mag just before the
outburst, if it is a little bit evolved hot (\log T (K) \gtrsim 4.5) star with
the mass of M_He \gtrsim 0.8 M_\sun. We then emphasize importance of
observations in the near future quiescent phase after the thick circumstellar
dust dissipates away, especially its color and magnitude to specify the nature
of the companion star. We have also calculated helium ignition masses for
helium shell flashes against various helium accretion rates and discussed the
recurrence period of helium novae.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 14:09:36 GMT""}]","2009-11-13"
"0805.2541","Guillaume Petite","Alexander Shvartsburg (JIHT), Vladimir Kuzmiak, Guillaume Petite (LSI)","Dynamics of Electrons in Gradient Nanostructures (Exactly Solvable
  Model)",,,"10.1140/epjb/e2009-00319-8",,"cond-mat.mtrl-sci","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A flexible multi-parameter exactly solvable model of potential profile,
containing an arbitrary number of continuous smoothly shaped barriers and
wells, both equal or unequal, characterized by finite values and continuous
profiles of the potential and of its gradient, is presented. We demonstrate an
influence of both gradient and curvature of these potentials on the electron
transport and spectra of symmetric and asymmetric double-well (DW) potentials.
The use of this model is simplified due to one to one correspondence between
the algorithms of calculation of the transmittance of convex barriers and
energy spectra of concave wells. We have shown that the resonant contrast
between maximum and minimum in over-barrier reflectivity of curvilinear barrier
exceeds significantly the analogous effect for rectangular barrier with the
same height and width. Reflectionless tunneling of electrons below the bottom
of gradient nanostructures forming concave potential barriers is considered.
The analogy between dynamics of electrons in gradient fields and gradient
optics of heterogeneous photonic barriers is illustrated.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 14:04:26 GMT""}]","2015-05-13"
"0805.2542","Wilson Reis","W. Reis and W.J.B. Corradi","Mapping the interface between the Local and Loop I bubbles using
  Stromgren photometry","16 pages, 15 figures, accepted for publication in Astronomy and
  Astrophysics",,"10.1051/0004-6361:20077946",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The Sun is located inside an extremely low density region of quite irregular
shape called the Local Bubble. Close to the Local Bubble, there is an even
larger cavity known as Loop I. A ring-like feature observed in X-ray and HI has
been proposed as the contour of the bubbles interaction zone around 70 pc. Our
goal is to identify the interface between the Local and Loop I Bubbles and
discuss the ring's existence using Stromgren uvbyH\beta data. We have used the
uvbyH\beta data of the General Catalogue of Photometric Data, covering the
region defined by the Galactic coordinates: 250\degr <= l <= 50\degr and
-60\degr <= b <= 60\degr to obtain E(b-y) colour excess and distances. The
final sample is composed of 4346 stars located up to 500 pc from the Sun.
  The expected transition to E(b-y) ~ 0.070 - 0.100 mag, corresponding to the
ring's column density, occurs on the western part of the ring at d = 110 +/- 20
pc, whereas on the eastern side it is not clearly seen before d = 280 +/- 50
pc. Near the Galactic plane the presence of the dark clouds is clearly
established by E(b-y) >= 0.100 mag on the western side at about 100 - 150 pc
and about 120 - 180 pc on the eastern side. In the southernmost part of the
ring the reddening remains very low, typically E(b-y) = 0.020 in all its
extension, except towards the Mensa constellation where a possible transition
is observed at d = 200 +/- 20 pc. In the northernmost part the colour excess
increases with distance in a gradual way, such that 0.020 <= E(b-y) <= 0.040
mag becomes predominant only after d=120 +/-15 pc.
  If the ring really exists the colour excess distribution indicates that it is
very fragmented and distorted. However, the different characteristics of the
reddening inside and along the ring do not support the existence of a ring.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 14:09:47 GMT""}]","2009-11-13"
"0805.2543","Hailu Luo","Hailu Luo, Shuangchun Wen, Weixing Shu, Zhixiang Tang, Yanhong Zou,
  Dianyuan Fan","Rotational Doppler effect in left-handed materials","6 pages, 3 figures","Physical Review A 78, 033805 (2008)","10.1103/PhysRevA.78.033805",,"physics.optics physics.class-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We explain the rotational Doppler effect associated with light beams carrying
with orbital angular momentum in left-handed materials (LHMs). We demonstrate
that the rotational Doppler effect in LHMs is unreversed, which is
significantly different from the linear Doppler effect. The physics underlying
this intriguing effect is the combined contributions of negative phase velocity
and inverse screw of wave-front. In the normal dispersion region, the
rotational Doppler effect induces a upstream energy flow but a downstream
momentum flow. In the anomalous dispersion region, however, the rotational
Doppler effect produces a downstream energy flow but a upstream momentum flow.
We theoretically predict that the rotational Doppler effect can induce a
transfer of angular momentum of the LHM to orbital angular momentum of the
beam.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 14:13:08 GMT""}]","2008-09-07"
"0805.2544","Selma de Mink","S.E. de Mink, M. Cantiello, N. Langer, S.-Ch. Yoon, I. Brott, E.
  Glebbeek, M. Verkoulen, and O.R. Pols","Rotational mixing in close binaries","5 pages, 5 figures: to appear in the proceedings of IAU 252 ""The Art
  of Modelling Stars in the 21st Century"", April 6-11, 2008, Sanya, China",,"10.1017/S1743921308023223",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Rotational mixing is a very important but uncertain process in the evolution
of massive stars. We propose to use close binaries to test its efficiency.
Based on rotating single stellar models we predict nitrogen surface
enhancements for tidally locked binaries. Furthermore we demonstrate the
possibility of a new evolutionary scenario for very massive (M > 40 solar mass)
close (P < 3 days) binaries: Case M, in which mixing is so efficient that the
stars evolve quasi-chemically homogeneously, stay compact and avoid any
Roche-lobe overflow, leading to very close (double) WR binaries.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 14:19:58 GMT""}]","2009-11-13"
"0805.2545","Thierry Pradier","Thierry Pradier (for the ANTARES Collaboration)","The ANTARES Neutrino Telescope: first results","8 pages, 7 figures; contribution to the Proceedings of the 43rd
  ""Rencontres de Moriond ElectroWeak"", La Thuile (Val d'Aosta, Italy) March 1 -
  8, 2008. - some typos corrected, and a few figures modified for legibility",,,,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The ANTARES Collaboration is completing the deployment of a 12 lines
underwater detector, 2500m deep in the Mediterranean Sea, dedicated to high
energy neutrino astronomy. Starting with the first line in 2006, 10 lines were
continuously recording data by the end of 2007, which allow us to reconstruct
downward-going cosmic muons, and search for the first upward-going
neutrino-induced muons. Calibration topics will be described and preliminary
results presented.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 14:47:22 GMT""},{""version"":""v2"",""created"":""Thu, 12 Jun 2008 13:31:25 GMT""}]","2019-08-13"
"0805.2546","Sayani Majumdar","Sayani Majumdar, Himadri S Majumdar, Harri Aarnio, Dirk Vanderzande,
  Reino Laiho and Ronald Osterbacka","The role of electron-hole recombination in organic magnetoresistance",,,"10.1103/PhysRevB.79.201202",,"cond-mat.mtrl-sci","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Magneto-electrical measurements were performed on diodes and bulk
heterojunction solar cells (BHSCs) to clarify the role of formation of
coulombically bound electron-hole (e-h) pairs on the magnetoresistance (MR)
response in organic thin film devices. BHSCs are suitable model systems because
they effectively quench excitons but the probability of forming e-h pairs in
them can be tuned over orders of magnitude by the choice of material and
solvent in the blend. We have systematically varied the e-h recombination
coefficients, which are directly proportional to the probability for the charge
carriers to meet in space, and found that a reduced probability of electrons
and holes meeting in space lead to disappearance of the MR. Our results clearly
show that MR is a direct consequence of e-h pair formation. We also found that
the MR line shape follows a power law-dependence of B0.5 at higher fields.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 14:24:55 GMT""},{""version"":""v2"",""created"":""Tue, 20 May 2008 20:52:45 GMT""},{""version"":""v3"",""created"":""Thu, 29 May 2008 06:30:01 GMT""},{""version"":""v4"",""created"":""Wed, 27 Aug 2008 12:50:28 GMT""}]","2009-07-26"
"0805.2547","Alexander G. Ramm","N.S.Hoang, A.G.Ramm","A nonlinear inequality",,,,,"math.DS math.CA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A quadratic inequality is formulated in the paper. An estimate on the rate of
decay of solutions to this inequality is obtained. This inequality is of
interest in a study of dynamical systems and nonlinear evolution equations.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 14:25:54 GMT""}]","2008-05-19"
"0805.2548","Luca Maccione","Luca Maccione (SISSA & INFN, Trieste), Stefano Liberati (SISSA & INFN,
  Trieste)","GZK photon constraints on Planck scale Lorentz violation in QED","v2: Improved Introduction. Accepted by JCAP","JCAP 0808:027,2008","10.1088/1475-7516/2008/08/027",,"astro-ph gr-qc hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We show how the argument exploited by Galaverni & Sigl in Phys. Rev. Lett.,
100, 021102 (2008) (see also arXiv:0708.1737) to constrain Lorentz invariance
violation (LV) using Ultra-High-Energy photon non observation by the AUGER
experiment, can be extended to QED with Planck-suppressed LV (at order $O(E/M)$
and $O(E^2/M^2)$). While the original constraints given by Galaverni & Sigl
happen to be weakened, we show that, when used together with other EFT
reactions and the expected detection of photons at $E > 10^{19}$ eV by AUGER,
this method has the potentiality not only to basically rule out order $O(E/M)$
corrections but also to strongly constrain, for the first time, the CPT-even
$O(E^2/M^2)$ LV QED.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 14:30:58 GMT""},{""version"":""v2"",""created"":""Mon, 18 Aug 2008 13:22:56 GMT""}]","2011-07-13"
"0805.2549","Alexander G. Ramm","A.G.Ramm","Creating Wave-Focusing Materials",,,,,"math-ph math.MP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Basic ideas for creating wave-focusing materials by injecting small particles
in a given material are described.
  The number of small particles to be injected around any point is calculated.
Inverse scattering problem with fixed wavenumber and fixed incident direction
of the plane acoustic wave is formulated and solved.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 14:32:46 GMT""}]","2008-05-19"
"0805.2550","Hector  G. Arce","H\'ector G. Arce, Joaqu\'in Santiago-Garc\'ia, Jes K. J{\o}rgensen,
  Mario Tafalla, Rafael Bachiller","Complex Molecules in the L1157 Molecular Outflow","8 pages, 2 tables, 2 figures",,"10.1086/590110",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We report the detection of complex organic molecules in the young
protostellar outflow L1157. We identify lines from HCOOCH3, CH3CN, HCOOH and
C2H5OH at the position of the B1 shock in the blueshifted lobe, making it the
first time that complex species have been detected towards a molecular outflow
powered by a young low-mass protostar. The time scales associated with the warm
outflow gas (< 2,000 yr) are too short for the complex molecules to have formed
in the gas phase after the shock-induced sputtering of the grain mantles. It is
more likely that the complex species formed in the surface of grains and were
then ejected from the grain mantles by the shock. The formation of complex
molecules in the grains of low-mass star forming regions must be relatively
efficient, and our results show the importance of considering the impact of
outflows when studying complex molecules around protostars. The relative
abundance with respect to methanol of most of the detected complex molecules is
similar to that of hot cores and molecular clouds in the galactic center
region, which suggests that the mantle composition of the dust in the L1157
dark cloud is similar to dust in those regions.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 14:36:48 GMT""}]","2016-08-14"
"0805.2551","Yun Guo","Yun Guo","Small Quarkonium states in an anisotropic QCD plasma","4 pages, Contribution to Quark Matter 2008 (Jaipur, India)","Indian J.Phys.85:99-104,2011","10.1007/s12648-011-0025-7",,"hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We determine the hard-loop resummed propagator in an anisotropic QCD plasma
in general covariant gauges and define a potential between heavy quarks from
the Fourier transform of its static limit. We find that the potential exhibits
angular dependence and that binding of very small quarkonium states is stronger
than in an isotropic plasma.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 14:39:16 GMT""}]","2011-05-05"
"0805.2552","Rachel Mandelbaum","Rachel Mandelbaum, Uros Seljak, Christopher M. Hirata","Halo mass - concentration relation from weak lensing","17 pages, 5 figures, accepted to JCAP pending minor revisions that
  are included in v2 here on arXiv","JCAP 0808:006,2008","10.1088/1475-7516/2008/08/006",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We perform a statistical weak lensing analysis of dark matter profiles around
tracers of halo mass from galactic- to cluster-size halos. In this analysis we
use 170,640 isolated ~L* galaxies split into ellipticals and spirals, 38,236
groups traced by isolated spectroscopic Luminous Red Galaxies (LRGs) and 13,823
MaxBCG clusters from the Sloan Digital Sky Survey (SDSS) covering a wide range
of richness. Together these three samples allow a determination of the density
profiles of dark matter halos over three orders of magnitude in mass, from
10^{12} M_{sun} to 10^{15} M_{sun}. The resulting lensing signal is consistent
with an NFW or Einasto profile on scales outside the central region. We find
that the NFW concentration parameter c_{200b} decreases with halo mass, from
around 10 for galactic halos to 4 for cluster halos. Assuming its dependence on
halo mass in the form of c_{200b} = c_0 [M/(10^{14}M_{sun}/h)]^{\beta}, we find
c_0=4.6 +/- 0.7 (at z=0.22) and \beta=0.13 +/- 0.07, with very similar results
for the Einasto profile. The slope (\beta) is in agreement with theoretical
predictions, while the amplitude is about two standard deviations below the
predictions for this mass and redshift, but we note that the published values
in the literature differ at a level of 10-20% and that for a proper comparison
our analysis should be repeated in simulations. We discuss the implications of
our results for the baryonic effects on the shear power spectrum: since these
are expected to increase the halo concentration, the fact that we see no
evidence of high concentrations on scales above 20% of the virial radius
suggests that baryonic effects are limited to small scales, and are not a
significant source of uncertainty for the current weak lensing measurements of
the dark matter power spectrum. [ABRIDGED]
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 14:47:39 GMT""},{""version"":""v2"",""created"":""Mon, 7 Jul 2008 15:32:44 GMT""}]","2014-11-18"
"0805.2553","Jorge Piekarewicz","X. Roca-Maza and J. Piekarewicz","Impact of the symmetry energy on the outer crust of non-accreting
  neutron stars","21 pages, 8 figures, submitted to Physical Review C","Phys.Rev.C78:025807,2008","10.1103/PhysRevC.78.025807",,"nucl-th astro-ph gr-qc nucl-ex","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The composition and equation of state of the outer crust of non-accreting
neutron stars is computed using accurate nuclear mass tables. The main goal of
the present study is to understand the impact of the symmetry energy on the
structure of the outer crust. First, a simple ""toy model"" is developed to
illustrate the competition between the electronic density and the symmetry
energy. Then, realistic mass tables are used to show that models with a stiff
symmetry energy - those that generate large neutron skins for heavy nuclei -
predict a sequence of nuclei that are more neutron-rich than their softer
counterparts. This result may be phrased in the form of a correlation: the
larger the neutron skin of 208Pb, the more exotic the composition of the outer
crust.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 14:53:35 GMT""}]","2008-11-26"
"0805.2554","Qiang Li","Kaoru Hagiwara, Junichi Kanzaki, Qiang Li, Kentarou Mawatari","HELAS and MadGraph/MadEvent with spin-2 particles","11 pages, 2 figures","Eur.Phys.J.C56:435-447,2008","10.1140/epjc/s10052-008-0663-x",,"hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Fortran subroutines to calculate helicity amplitudes with massive spin-2
particles (massive gravitons), which couple to the standard model particles via
the energy momentum tensor, are added to the {\tt HELAS} ({\tt HEL}icity {\tt
A}mplitude {\tt S}ubroutines) library. They are coded in such a way that
arbitrary scattering amplitudes with one graviton production and its decays can
be generated automatically by {\tt MadGraph} and {\tt MadEvent}, after slight
modifications. All the codes have been tested carefully by making use of the
invariance of the helicity amplitudes under the gauge and general coordinate
transformations.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 14:58:11 GMT""}]","2008-11-26"
